start_date,end_date,event_name
2020-03-29 18:10:03 UTC,2020-03-29 18:10:18 UTC,A
2020-03-28 18:19:12 UTC,2020-03-28 18:19:27 UTC,A
2020-03-28 23:52:30 UTC,2020-03-28 23:52:45 UTC,A
2020-03-29 22:32:41 UTC,2020-03-29 22:32:56 UTC,A
2020-03-22 20:51:28 UTC,2020-03-22 20:51:43 UTC,A
2020-03-22 21:50:31 UTC,2020-03-22 21:50:46 UTC,A
2020-04-01 18:47:53 UTC,2020-04-01 18:48:08 UTC,A
2020-04-02 13:39:17 UTC,2020-04-02 13:39:32 UTC,A
2020-03-25 18:12:44 UTC,2020-03-25 18:12:59 UTC,A
2020-04-01 18:46:13 UTC,2020-04-01 18:46:28 UTC,A
2020-03-30 18:09:52 UTC,2020-03-30 18:10:07 UTC,A
2020-03-31 20:07:08 UTC,2020-03-31 20:07:23 UTC,A
2020-03-25 23:39:13 UTC,2020-03-25 23:39:28 UTC,A
2020-03-23 20:18:04 UTC,2020-03-23 20:18:19 UTC,A
2020-03-30 23:23:31 UTC,2020-03-30 23:23:46 UTC,A
2020-04-02 22:10:55 UTC,2020-04-02 22:11:10 UTC,A
2020-03-27 23:40:37 UTC,2020-03-27 23:40:52 UTC,A
2020-03-23 23:44:16 UTC,2020-03-23 23:44:31 UTC,A
2020-03-26 21:39:54 UTC,2020-03-26 21:40:09 UTC,A
2020-03-24 20:29:09 UTC,2020-03-24 20:29:24 UTC,A
2020-04-02 09:35:19 UTC,2020-04-02 09:35:34 UTC,B
2020-03-26 11:38:33 UTC,2020-03-26 11:38:48 UTC,B
2020-03-22 07:43:35 UTC,2020-03-22 07:43:50 UTC,B
2020-03-24 11:12:23 UTC,2020-03-24 11:12:38 UTC,B
2020-03-30 10:59:45 UTC,2020-03-30 11:00:00 UTC,B
2020-03-28 09:39:08 UTC,2020-03-28 09:39:23 UTC,B
2020-03-27 17:42:05 UTC,2020-03-27 17:42:20 UTC,B
2020-03-23 18:09:30 UTC,2020-03-23 18:09:45 UTC,B
2020-03-30 18:55:44 UTC,2020-03-30 18:55:59 UTC,B
2020-03-26 19:17:52 UTC,2020-03-26 19:18:07 UTC,B
2020-03-25 17:49:16 UTC,2020-03-25 17:49:31 UTC,B
2020-03-31 15:01:24 UTC,2020-03-31 15:01:39 UTC,B
2020-03-21 12:15:41 UTC,2020-03-21 12:15:56 UTC,B
2020-03-27 19:31:29 UTC,2020-03-27 19:31:44 UTC,B
2020-03-22 18:31:39 UTC,2020-03-22 18:31:54 UTC,B
2020-03-29 16:14:06 UTC,2020-03-29 16:14:21 UTC,B
2020-03-26 18:50:41 UTC,2020-03-26 18:50:56 UTC,B
2020-03-23 14:49:29 UTC,2020-03-23 14:49:44 UTC,B
2020-03-22 18:11:53 UTC,2020-03-22 18:12:08 UTC,B
2020-03-28 22:51:16 UTC,2020-03-28 22:51:31 UTC,B
2020-03-27 20:07:06 UTC,2020-03-27 20:07:21 UTC,B
2020-03-28 18:44:37 UTC,2020-03-28 18:44:52 UTC,B
2020-03-21 20:56:38 UTC,2020-03-21 20:56:53 UTC,B
2020-03-24 21:07:57 UTC,2020-03-24 21:08:12 UTC,B
2020-03-24 22:53:17 UTC,2020-03-24 22:53:32 UTC,B
2020-03-31 20:22:03 UTC,2020-03-31 20:22:18 UTC,B
2020-03-29 19:09:02 UTC,2020-03-29 19:09:17 UTC,B
2020-03-30 21:01:21 UTC,2020-03-30 21:01:36 UTC,B
2020-03-29 20:54:28 UTC,2020-03-29 20:54:43 UTC,B
2020-04-02 21:51:33 UTC,2020-04-02 21:51:48 UTC,B
2020-03-28 21:44:18 UTC,2020-03-28 21:44:33 UTC,B
2020-03-30 20:31:55 UTC,2020-03-30 20:32:10 UTC,B
2020-03-27 20:30:14 UTC,2020-03-27 20:30:29 UTC,B
2020-03-25 19:26:14 UTC,2020-03-25 19:26:29 UTC,B
2020-04-02 21:11:01 UTC,2020-04-02 21:11:16 UTC,B
2020-03-21 21:40:42 UTC,2020-03-21 21:40:57 UTC,B
2020-03-29 19:32:38 UTC,2020-03-29 19:32:53 UTC,B
2020-03-31 21:32:52 UTC,2020-03-31 21:33:07 UTC,B
2020-03-24 19:45:52 UTC,2020-03-24 19:46:07 UTC,B
2020-04-02 22:23:40 UTC,2020-04-02 22:23:55 UTC,B
2020-03-22 21:08:49 UTC,2020-03-22 21:09:04 UTC,B
2020-03-23 20:43:19 UTC,2020-03-23 20:43:34 UTC,B
2020-03-25 20:33:08 UTC,2020-03-25 20:33:23 UTC,B
2020-04-02 08:20:41 UTC,2020-04-02 08:20:56 UTC,C
2020-04-02 21:30:44 UTC,2020-04-02 21:30:59 UTC,C
2020-04-02 19:13:04 UTC,2020-04-02 19:13:19 UTC,C
2020-03-27 00:00:36 UTC,2020-03-27 00:00:51 UTC,D
2020-03-30 20:08:24 UTC,2020-03-30 20:08:39 UTC,D
2020-03-31 22:03:37 UTC,2020-03-31 22:03:52 UTC,D
2020-03-24 19:57:51 UTC,2020-03-24 19:58:06 UTC,D
2020-03-25 20:26:13 UTC,2020-03-25 20:26:28 UTC,D
2020-03-23 17:57:27 UTC,2020-03-23 17:57:42 UTC,D
2020-03-27 23:26:06 UTC,2020-03-27 23:26:21 UTC,D
2020-04-01 21:59:50 UTC,2020-04-01 22:00:05 UTC,E
2020-03-24 22:33:02 UTC,2020-03-24 22:33:17 UTC,E
2020-03-20 19:09:31 UTC,2020-03-20 19:09:46 UTC,E
2020-03-26 19:11:34 UTC,2020-03-26 19:11:49 UTC,E
2020-03-23 21:45:23 UTC,2020-03-23 21:45:38 UTC,F
2020-03-28 22:41:20 UTC,2020-03-28 22:41:35 UTC,F
2020-03-22 21:43:59 UTC,2020-03-22 21:44:14 UTC,F
2020-03-27 23:47:28 UTC,2020-03-27 23:47:43 UTC,F
2020-03-29 23:26:14 UTC,2020-03-29 23:26:29 UTC,F
2020-03-21 22:46:28 UTC,2020-03-21 22:46:43 UTC,F
2020-03-29 21:57:58 UTC,2020-03-29 21:58:13 UTC,F
2020-03-21 21:22:29 UTC,2020-03-21 21:22:44 UTC,F
2020-03-30 19:07:16 UTC,2020-03-30 19:07:31 UTC,F
2020-03-29 00:03:03 UTC,2020-03-29 00:03:18 UTC,F
2020-03-22 18:32:00 UTC,2020-03-22 18:32:15 UTC,F
2020-03-22 15:57:55 UTC,2020-03-22 15:58:10 UTC,G
2020-03-30 23:55:35 UTC,2020-03-30 23:55:50 UTC,G
2020-03-27 23:52:52 UTC,2020-03-27 23:53:07 UTC,G
2020-03-30 21:49:59 UTC,2020-03-30 21:50:14 UTC,G
2020-04-01 17:08:37 UTC,2020-04-01 17:08:52 UTC,G
2020-03-25 16:16:48 UTC,2020-03-25 16:17:03 UTC,G
2020-04-02 17:07:02 UTC,2020-04-02 17:07:17 UTC,G
2020-03-31 20:54:39 UTC,2020-03-31 20:54:54 UTC,G
2020-03-24 20:17:59 UTC,2020-03-24 20:18:14 UTC,G
2020-03-19 20:21:28 UTC,2020-03-19 20:21:43 UTC,G
2020-03-21 19:21:02 UTC,2020-03-21 19:21:17 UTC,G
2020-03-28 21:15:23 UTC,2020-03-28 21:15:38 UTC,G
2020-03-30 18:49:13 UTC,2020-03-30 18:49:28 UTC,AA
2020-03-22 20:05:47 UTC,2020-03-22 20:06:02 UTC,AA
2020-03-23 21:21:32 UTC,2020-03-23 21:21:47 UTC,AA
2020-03-25 18:55:38 UTC,2020-03-25 18:55:53 UTC,AA
2020-03-29 21:21:55 UTC,2020-03-29 21:22:10 UTC,AA
2020-03-22 20:51:45 UTC,2020-03-22 20:52:00 UTC,AA
2020-03-21 21:13:07 UTC,2020-03-21 21:13:22 UTC,AA
2020-03-29 22:05:06 UTC,2020-03-29 22:05:21 UTC,AA
2020-03-28 21:54:25 UTC,2020-03-28 21:54:40 UTC,AA
2020-03-25 21:37:40 UTC,2020-03-25 21:37:55 UTC,AA
2020-03-23 20:42:45 UTC,2020-03-23 20:43:00 UTC,AA
2020-03-21 20:44:57 UTC,2020-03-21 20:45:12 UTC,AA
2020-03-28 21:21:47 UTC,2020-03-28 21:22:02 UTC,AA
2020-03-30 21:37:07 UTC,2020-03-30 21:37:22 UTC,AA
2020-03-30 12:36:53 UTC,2020-03-30 12:37:08 UTC,BB
2020-04-02 17:13:53 UTC,2020-04-02 17:14:08 UTC,BB
2020-03-27 15:51:15 UTC,2020-03-27 15:51:30 UTC,BB
2020-03-27 10:25:41 UTC,2020-03-27 10:25:56 UTC,BB
2020-04-01 12:25:24 UTC,2020-04-01 12:25:39 UTC,BB
2020-03-23 14:07:30 UTC,2020-03-23 14:07:45 UTC,BB
2020-03-31 10:53:12 UTC,2020-03-31 10:53:27 UTC,BB
2020-03-25 12:32:02 UTC,2020-03-25 12:32:17 UTC,BB
2020-03-26 10:12:08 UTC,2020-03-26 10:12:23 UTC,BB
2020-04-02 19:34:49 UTC,2020-04-02 19:35:04 UTC,BB
2020-03-23 21:53:30 UTC,2020-03-23 21:53:45 UTC,BB
2020-03-30 19:33:59 UTC,2020-03-30 19:34:14 UTC,BB
2020-04-01 18:40:01 UTC,2020-04-01 18:40:16 UTC,BB
2020-03-25 21:53:50 UTC,2020-03-25 21:54:05 UTC,BB
2020-03-25 22:35:26 UTC,2020-03-25 22:35:41 UTC,BB
2020-03-26 23:09:39 UTC,2020-03-26 23:09:54 UTC,BB
2020-03-24 21:32:44 UTC,2020-03-24 21:32:59 UTC,BB
2020-03-30 19:55:22 UTC,2020-03-30 19:55:37 UTC,BB
2020-03-31 18:50:15 UTC,2020-03-31 18:50:30 UTC,BB
2020-03-27 23:47:25 UTC,2020-03-27 23:47:40 UTC,BB
2020-03-24 21:54:30 UTC,2020-03-24 21:54:45 UTC,BB
2020-03-24 20:19:14 UTC,2020-03-24 20:19:29 UTC,BB
2020-03-27 18:33:08 UTC,2020-03-27 18:33:23 UTC,BB
2020-03-23 18:22:57 UTC,2020-03-23 18:23:12 UTC,BB
2020-03-26 19:19:35 UTC,2020-03-26 19:19:50 UTC,BB
2020-03-31 20:44:26 UTC,2020-03-31 20:44:41 UTC,BB
2020-03-28 12:51:10 UTC,2020-03-28 12:51:25 UTC,BB
2020-03-29 09:59:52 UTC,2020-03-29 10:00:07 UTC,BB
2020-03-28 12:09:42 UTC,2020-03-28 12:09:57 UTC,BB
2020-03-28 23:40:55 UTC,2020-03-28 23:41:10 UTC,BB
2020-03-22 20:50:38 UTC,2020-03-22 20:50:53 UTC,BB
2020-03-29 18:38:33 UTC,2020-03-29 18:38:48 UTC,BB
2020-03-29 23:36:11 UTC,2020-03-29 23:36:26 UTC,BB
2020-03-22 23:31:21 UTC,2020-03-22 23:31:36 UTC,BB
2020-03-28 19:06:44 UTC,2020-03-28 19:06:59 UTC,BB
2020-03-22 13:28:26 UTC,2020-03-22 13:28:41 UTC,BB
2020-03-22 18:28:55 UTC,2020-03-22 18:29:10 UTC,BB
2020-03-29 16:26:32 UTC,2020-03-29 16:26:47 UTC,BB
2020-03-29 18:21:20 UTC,2020-03-29 18:21:35 UTC,CC
2020-03-28 23:10:37 UTC,2020-03-28 23:10:52 UTC,CC
2020-03-27 19:09:40 UTC,2020-03-27 19:09:55 UTC,CC
2020-03-29 22:47:02 UTC,2020-03-29 22:47:17 UTC,CC
2020-03-28 21:04:54 UTC,2020-03-28 21:05:09 UTC,CC
2020-03-28 18:15:59 UTC,2020-03-28 18:16:14 UTC,CC
2020-03-22 23:55:44 UTC,2020-03-22 23:55:59 UTC,CC
2020-03-22 20:13:59 UTC,2020-03-22 20:14:14 UTC,CC
2020-03-29 23:34:33 UTC,2020-03-29 23:34:48 UTC,CC
2020-03-29 22:21:27 UTC,2020-03-29 22:21:42 UTC,DD
2020-03-22 23:00:40 UTC,2020-03-22 23:00:55 UTC,DD
2020-03-26 12:12:23 UTC,2020-03-26 12:12:38 UTC,DD
2020-03-27 10:26:48 UTC,2020-03-27 10:27:03 UTC,DD
2020-04-02 10:46:25 UTC,2020-04-02 10:46:40 UTC,DD
2020-03-25 10:44:05 UTC,2020-03-25 10:44:20 UTC,DD
2020-03-24 22:23:05 UTC,2020-03-24 22:23:20 UTC,DD
2020-03-30 21:50:45 UTC,2020-03-30 21:51:00 UTC,DD
2020-03-23 15:46:38 UTC,2020-03-23 15:46:53 UTC,DD
2020-03-23 16:31:27 UTC,2020-03-23 16:31:42 UTC,DD
2020-03-21 16:56:58 UTC,2020-03-21 16:57:13 UTC,DD
2020-04-02 17:42:03 UTC,2020-04-02 17:42:18 UTC,DD
2020-03-25 17:01:57 UTC,2020-03-25 17:02:12 UTC,DD
2020-03-20 17:43:07 UTC,2020-03-20 17:43:22 UTC,DD
2020-04-01 17:01:03 UTC,2020-04-01 17:01:18 UTC,DD
2020-03-27 17:01:25 UTC,2020-03-27 17:01:40 UTC,DD
2020-03-26 17:20:25 UTC,2020-03-26 17:20:40 UTC,DD
2020-03-29 16:04:10 UTC,2020-03-29 16:04:25 UTC,DD
2020-04-01 20:55:14 UTC,2020-04-01 20:55:29 UTC,DD
2020-03-31 16:02:52 UTC,2020-03-31 16:03:07 UTC,DD
2020-04-02 15:49:16 UTC,2020-04-02 15:49:31 UTC,DD
2020-03-24 16:07:32 UTC,2020-03-24 16:07:47 UTC,DD
2020-03-22 18:52:48 UTC,2020-03-22 18:53:03 UTC,DD
2020-03-28 14:02:54 UTC,2020-03-28 14:03:09 UTC,DD
2020-03-21 06:15:38 UTC,2020-03-21 06:15:53 UTC,Z
2020-03-27 06:12:58 UTC,2020-03-27 06:13:13 UTC,Z
2020-03-24 09:08:22 UTC,2020-03-24 09:08:37 UTC,Z
2020-03-29 08:56:44 UTC,2020-03-29 08:56:59 UTC,Z
2020-03-22 17:32:36 UTC,2020-03-22 17:32:51 UTC,Z
2020-03-28 18:37:27 UTC,2020-03-28 18:37:42 UTC,Z
2020-03-24 14:01:07 UTC,2020-03-24 14:01:22 UTC,Z
2020-03-31 16:43:05 UTC,2020-03-31 16:43:20 UTC,Z
2020-03-28 14:28:14 UTC,2020-03-28 14:28:29 UTC,Z
2020-04-02 15:11:23 UTC,2020-04-02 15:11:38 UTC,Z
2020-03-26 14:30:05 UTC,2020-03-26 14:30:20 UTC,Z
2020-03-27 22:44:37 UTC,2020-03-27 22:44:52 UTC,Z
2020-03-29 21:19:36 UTC,2020-03-29 21:19:51 UTC,Z
2020-03-24 21:12:57 UTC,2020-03-24 21:13:12 UTC,Z
2020-03-27 20:42:02 UTC,2020-03-27 20:42:17 UTC,Z
2020-03-24 20:33:26 UTC,2020-03-24 20:33:41 UTC,Z
2020-03-22 21:36:11 UTC,2020-03-22 21:36:26 UTC,Z
2020-03-28 22:23:23 UTC,2020-03-28 22:23:38 UTC,Z
2020-03-22 22:54:12 UTC,2020-03-22 22:54:27 UTC,Z
2020-03-29 19:51:00 UTC,2020-03-29 19:51:15 UTC,Z
2020-03-28 20:34:45 UTC,2020-03-28 20:35:00 UTC,Z
2020-04-02 19:53:43 UTC,2020-04-02 19:53:58 UTC,Z
2020-03-30 19:38:59 UTC,2020-03-30 19:39:14 UTC,Z
2020-03-30 21:49:15 UTC,2020-03-30 21:49:30 UTC,Z
2020-03-26 22:23:05 UTC,2020-03-26 22:23:20 UTC,Z
2020-03-27 23:30:46 UTC,2020-03-27 23:31:01 UTC,Z
2020-03-21 23:34:45 UTC,2020-03-21 23:35:00 UTC,Z
2020-03-21 21:04:19 UTC,2020-03-21 21:04:34 UTC,Z
2020-03-29 22:46:22 UTC,2020-03-29 22:46:37 UTC,Z
2020-04-02 23:12:22 UTC,2020-04-02 23:12:37 UTC,Z
2020-04-02 21:23:28 UTC,2020-04-02 21:23:43 UTC,Z
2020-03-21 23:10:23 UTC,2020-03-21 23:10:38 UTC,Z
2020-03-31 18:44:12 UTC,2020-03-31 18:44:27 UTC,Z
2020-03-26 19:05:25 UTC,2020-03-26 19:05:40 UTC,Z
2020-03-23 21:51:04 UTC,2020-03-23 21:51:19 UTC,Z
2020-03-31 19:54:52 UTC,2020-03-31 19:55:07 UTC,Z
2020-03-22 21:05:11 UTC,2020-03-22 21:05:26 UTC,Z
2020-03-25 20:36:12 UTC,2020-03-25 20:36:27 UTC,Z
2020-03-29 21:36:11 UTC,2020-03-29 21:36:26 UTC,Y
2020-03-21 19:03:19 UTC,2020-03-21 19:03:34 UTC,Y
2020-03-27 19:25:27 UTC,2020-03-27 19:25:42 UTC,Y
2020-03-21 21:54:15 UTC,2020-03-21 21:54:30 UTC,Y
2020-03-22 22:36:37 UTC,2020-03-22 22:36:52 UTC,Y
2020-03-27 21:04:16 UTC,2020-03-27 21:04:31 UTC,Y
2020-03-22 19:22:17 UTC,2020-03-22 19:22:32 UTC,Y
2020-03-22 22:57:36 UTC,2020-03-22 22:57:51 UTC,Y
2020-03-29 21:10:24 UTC,2020-03-29 21:10:39 UTC,Y
2020-03-21 19:15:41 UTC,2020-03-21 19:15:56 UTC,Y
2020-03-29 19:15:18 UTC,2020-03-29 19:15:33 UTC,Y
2020-03-30 16:16:43 UTC,2020-03-30 16:16:58 UTC,R
2020-03-31 12:33:01 UTC,2020-03-31 12:33:16 UTC,R
2020-03-28 17:02:12 UTC,2020-03-28 17:02:27 UTC,R
2020-03-28 16:08:10 UTC,2020-03-28 16:08:25 UTC,R
2020-03-31 16:46:55 UTC,2020-03-31 16:47:10 UTC,R
2020-03-28 17:58:37 UTC,2020-03-28 17:58:52 UTC,R
2020-03-28 13:10:28 UTC,2020-03-28 13:10:43 UTC,R
2020-03-30 13:10:38 UTC,2020-03-30 13:10:53 UTC,R
2020-03-28 23:10:07 UTC,2020-03-28 23:10:22 UTC,R
2020-03-27 23:08:06 UTC,2020-03-27 23:08:21 UTC,R
2020-03-25 23:25:49 UTC,2020-03-25 23:26:04 UTC,R
2020-03-26 23:23:01 UTC,2020-03-26 23:23:16 UTC,R
2020-04-02 19:57:46 UTC,2020-04-02 19:58:01 UTC,R
2020-03-31 23:34:13 UTC,2020-03-31 23:34:28 UTC,R
2020-03-25 23:08:59 UTC,2020-03-25 23:09:14 UTC,R
2020-03-29 23:27:03 UTC,2020-03-29 23:27:18 UTC,R
2020-04-01 18:33:06 UTC,2020-04-01 18:33:21 UTC,R
2020-03-30 23:25:19 UTC,2020-03-30 23:25:34 UTC,R
2020-03-30 08:05:57 UTC,2020-03-30 08:06:12 UTC,R
2020-03-29 08:00:43 UTC,2020-03-29 08:00:58 UTC,R
2020-03-29 07:11:38 UTC,2020-03-29 07:11:53 UTC,R
2020-03-29 06:15:05 UTC,2020-03-29 06:15:20 UTC,R
2020-03-31 10:45:15 UTC,2020-03-31 10:45:30 UTC,R
2020-03-29 08:37:53 UTC,2020-03-29 08:38:08 UTC,R
